id,gene_name,primer_0,primer_1,primer_2,primer_3,primer_4,primer_5,primer_6,primer_7,primer_8,primer_9,primer_10,primer_11,primer_12,primer_13,primer_14,primer_15,primer_16,primer_17,primer_18,primer_19,primer_20,primer_21,primer_22,primer_23,primer_24,gene_sum
107,IGKV7-33*01,,,,,,,,,,,,,,,,,,,,,,,,,,
108,IGKV8-16*01,,,,,,,,,,,,,,,,,,,,,,,,,,
109,IGKV8-19*01,,,,,,,,,,,,,,,,,,,,,,,,,,
110,IGKV8-21*01,,,,,,,,,,,,,,,,,,,,,,,,,,
111,IGKV8-24*01,,,,,,,,,,,,,,,,,,,,,,,,,,
112,IGKV8-27*01,,,,,,,,,,,,,,,,,,,,,,,,,,
113,IGKV8-28*01,,,,,,,,,,,,,,,,,,,,,,,,,,
114,IGKV8-28*02,,,,,,,,,,,,,,,,,,,,,,,,,,
115,IGKV8-30*01,,,,,,,,,,,,,,,,,,,,,,,,,,
116,IGKV8-34*01,,,,,,,,,,,,,,,,,,,,,,,,,,
117,IGKV9-120*01,,,,,,,,,,,,,,,,,,,,,,,,,,
118,IGKV9-123*01,,,,,,,,,,,,,,,,,,,,,,,,,,
119,IGKV9-124*01,,,,,,,,,,,,,,,,,,,,,,,,,,
,primer_sum,,,,,,,,,,,,,,,,,,,,,,,,,,
